iter	Passed	Remaining
1585	10974	9784
1586	10983	9778
1587	10990	9772
1588	10996	9764
1589	11002	9756
1590	11008	9749
1591	11015	9742
1592	11022	9735
1593	11030	9729
1594	11037	9722
1595	11044	9715
1596	11050	9708
1597	11056	9700
1598	11062	9692
1599	11068	9684
1600	11075	9677
1601	11081	9670
1602	11087	9662
1603	11094	9656
1604	11101	9648
1605	11108	9641
1606	11115	9635
1607	11121	9627
1608	11127	9619
1609	11133	9612
1610	11139	9604
1611	11146	9597
1612	11153	9590
1613	11159	9583
1614	11165	9575
1615	11172	9568
1616	11177	9560
1617	11185	9553
1618	11191	9546
1619	11198	9539
1620	11204	9531
1621	11210	9524
1622	11216	9516
1623	11222	9508
1624	11230	9502
1625	11238	9496
1626	11246	9490
1627	11253	9483
1628	11260	9477
1629	11266	9469
1630	11274	9463
1631	11280	9455
1632	11287	9449
1633	11293	9441
1634	11300	9433
1635	11305	9425
1636	11312	9418
1637	11318	9411
1638	11326	9405
1639	11334	9399
1640	11341	9392
1641	11348	9385
1642	11354	9378
1643	11360	9370
1644	11367	9363
1645	11375	9357
1646	11381	9350
1647	11387	9342
1648	11393	9334
1649	11401	9328
1650	11407	9320
1651	11414	9313
1652	11420	9306
1653	11427	9299
1654	11434	9292
1655	11442	9286
1656	11448	9278
1657	11454	9271
1658	11460	9263
1659	11466	9256
1660	11473	9249
1661	11479	9241
1662	11486	9234
1663	11492	9226
1664	11499	9220
1665	11506	9213
1666	11513	9206
1667	11520	9199
1668	11525	9191
1669	11533	9184
1670	11540	9178
1671	11548	9172
1672	11554	9165
1673	11561	9158
1674	11568	9151
